director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
A. Salaam,Joy Mukherjee,Madan Puri,abc,Action,aag aur daag,A. SalaamJoy MukherjeeMadan PuriabcActionaag aur daag
Mukul Dutt,Asha Parekh,Rajesh Khanna,Vinod Khanna,Drama,aan milo sajna,Asha Parekh Rajesh Khanna Vinod Khanna Mukul Dutt Drama
P. Madhavan,Bindu,Padmini,abc,Drama,aansoo aur muskan,P. Madhavan Bindu Padmini abc Drama aansoo aur muskan
Subodh Mukherjee,Shashi Kapoor,Hema Malini,Deb Mukherjee,Drama,abhinetri,Subodh Mukherjee Shashi Kapoor Hema Malini Deb Mukherjee Drama abhinetri
Kotayya Pratyagatma,Sanjeev Kumar,Tanuja,abc,Drama,bachpan,Kotayya Pratyagatma Sanjeev Kumar Tanuja abc Drama bachpan
Babubhai Mistri,Abhi Bhattacharya,Jayshree Gadkar,abc,Drama,bhagwan parshuram,Babubhai Mistri Abhi Bhattacharya Jayshree Gadkar abc Drama bhagwan parshuram
Raja Nawathe,Sunil Dutt,Asha Parekh,Mumtaz,Drama,bhai-bhai,Raja Nawathe Sunil Dutt Asha Parekh Mumtaz Drama bhai-bhai
James Ivory,Shashi Kapoor,Jennifer Kendal,abc,abc,bombay talkie,James Ivory Shashi Kapoor Jennifer Kendal abc abc bombay talkie
B.R. Ishara,Shatrughan Sinha,Anil Dhawan,abc,Action,chetna,B.R. Ishara Shatrughan Sinha Anil Dhawan abc Action chetna
Mohammed Hussain,Madan Puri,abc,abc,Drama,choron ka chor,Mohammed Hussain Madan Puri abc abc Drama choron ka chor
Adurthi Subba Rao,Sunil Dutt,Waheeda Rehman,abc,Drama,darpan,Adurthi Subba Rao Sunil Dutt Waheeda Rehman abc Drama darpan
Rajinder Singh Bedi,Sanjeev Kumar,abc,abc,Drama,dastak,Rajinder Singh Bedi Sanjeev Kumar abc abc Drama dastak
Jugal Kishore,Dheeraj Kumar,Anjana Choudhury,abc,Drama,deedar,Jugal Kishore Dheeraj Kumar Anjana Choudhury abc Drama deedar
Madhusudan Rao V.,Nutan,Sanjeev Kumar,Madan Puri,Drama,devi,Madhusudan Rao V. Nutan Sanjeev Kumar Madan Puri Drama devi
Sridhar,Rajendra Kumar,Waheeda Rehman,abc,Action,dharti,Sridhar Rajendra Kumar Waheeda Rehman abc Action dharti
Shiv Kumar,Helen,Aruna Irani,abc,Drama,ehsan,Shiv Kumar Helen Aruna Irani abc Drama ehsan
Vishram Bedekar,Prithviraj Kapoor,Mumtaz,Helen,Drama,ek nanhi munni ladki thi,Vishram Bedekar Prithviraj Kapoor Mumtaz Helen Drama ek nanhi munni ladki thi
Naresh Kumar,Vyjayanthimala,Rajendra Kumar,Pran,Romance,ganwaar,Naresh Kumar Vyjayanthimala Rajendra Kumar Pran Romance ganwaar
Ramanand Sagar,Rajendra Kumar,Mala Sinha,Sujeet Kumar,Drama,geet,Ramanand Sagar Rajendra Kumar Mala Sinha Sujeet Kumar Drama geet
T. Prakash Rao,Balraj Sahani,Nirupa Roy,Rakesh Roshan,Drama,ghar ghar ki kahani,T. Prakash Rao Balraj Sahani Nirupa Roy Rakesh Roshan Drama ghar ghar ki kahani
A. Bhimsingh,Dilip Kumar,Saira Banu,Om Prakash,abc,gopi,A. Bhimsingh Dilip Kumar Saira Banu Om Prakash abc gopi
B.R. Ishara,Sanjeev Kumar,Prithviraj Kapoor,abc,Drama,gunah aur kanoon,B.R. Ishara Sanjeev Kumar Prithviraj Kapoor abc Drama gunah aur kanoon
Chetan Anand,Prithviraj Kapoor,Raaj Kumar,Pran,Romance,heer raanjha,Chetan Anand Prithviraj Kapoor Raaj Kumar Pran Romance heer raanjha
Ravikant Nagaich,Jeetendra,Mumtaz,Prem Chopra,Romance,himmat,Ravikant Nagaich Jeetendra Mumtaz Prem Chopra Romance himmat
Harsukh Jagneshwar Bhatt,Shatrughan Sinha,Mala Sinha,abc,Romance,holi ayee re,Harsukh Jagneshwar Bhatt Shatrughan Sinha Mala Sinha abc Romance holi ayee re
Ramanna,Jeetendra,Leena Chandavarkar,Pran,Comedy,humjoli,Ramanna Jeetendra Leena Chandavarkar Pran Comedy humjoli
Aspi Irani,Sanjeev Kumar,Aruna Irani,abc,Action,insaan aur shaitan,Aspi Irani Sanjeev Kumar Aruna Irani abc Action insaan aur shaitan
Chand,Helen,Joy Mukherjee,abc,Action,inspector,Chand Helen Joy Mukherjee abc Action inspector
Ramesh Saigal,Dharmendra,Sadhana Shivdasani,abc,Romance,ishq par zor nahin,Ramesh Saigal Dharmendra Sadhana Shivdasani abc Romance ishq par zor nahin
Ramaana,Mehmood Ali,Aruna Irani,Prem Chopra,Romance,jawab,Ramaana Mehmood Ali Aruna Irani Prem Chopra Romance jawab
Satyen Bose,Dharmendra,Raakhee,abc,Romance,jeevan mrityu,Satyen Bose Dharmendra Raakhee abc Romance jeevan mrityu
Vijay Anand,Dev Anand,Hema Malini,Pran,Crime Drama,johny mera naam,Vijay Anand Dev Anand Hema Malini Pran Crime Drama johny mera naam
Anil Hingorani,Dharmendra,Babita,Pran,Mystery,kab? kyoon? aur kahan?,Anil Hingorani Dharmendra Babita Pran Mystery kab? kyoon? aur kahan?
Chander Vohra,Jeetendra,Mumtaz,Sanjeev Kumar,Romance,khilona,Chander Vohra Jeetendra Mumtaz Sanjeev Kumar Romance khilona
Asit Sen,Nutan,Ashok Kumar,abc,Drama,maa aur mamta,Asit Sen Nutan Ashok Kumar abc Drama maa aur mamta
Jagdev Bhambri,Sanjeev Kumar,Leela Mishra,abc,Drama,maa ka aanchal,Jagdev Bhambri Sanjeev Kumar Leela Mishra abc Drama maa ka aanchal
Naresh Saigal,Sanjay Khan,Nutan,Nirupa Roy,Drama,maharaja,Naresh Saigal Sanjay Khan Nutan Nirupa Roy Drama maharaja
Raghunath Jhalani,Dharmendra,Waheeda Rehman,abc,Drama,man ki aankhen,Raghunath Jhalani Dharmendra Waheeda Rehman abc Drama man ki aankhen
Adurthi Subba Rao,Mehmood,Vinod Khanna,Bharathi Vishnuvardhan,Comedy,mastana,Adurthi Subba Rao Mehmood Vinod Khanna Bharathi Vishnuvardhan Comedy mastana
Raj Kapoor,Raj Kapoor,Rajendra Kumar,Manoj Kumar,"Drama, Musical",mera naam joker,"Raj Kapoor Raj Kapoor Rajendra Kumar Manoj Kumar Drama, Musical mera naam joker"
Dulal Guha,Jeetendra,Sharmila Tagore,abc,Romance,mere humsafar,Dulal Guha Jeetendra Sharmila Tagore abc Romance mere humsafar
Kewal Misra,Joy Mukherjee,Kumud Chuggani,abc,Action,moojrim,Kewal Misra Joy Mukherjee Kumud Chuggani abc Action moojrim
S. Sukhdev,Shashi Kapoor,Sharmila Tagore,abc,Romance,my love,S. Sukhdev Shashi Kapoor Sharmila Tagore abc Romance my love
Dara Singh,Dara Singh,Balraj Sahni,Prithviraj Kapoor,abc,nanak dukhiya sub sansar,Dara Singh Dara Singh Balraj Sahni Prithviraj Kapoor abc nanak dukhiya sub sansar
Khalid Akhtar,Jeetendra,Asha Parekh,Farida Jalal,Drama,naya raasta,Khalid Akhtar Jeetendra Asha Parekh Farida Jalal Drama naya raasta
Shakti Samanta,Shammi Kapoor,Asha Parekh,abc,Romance,pagla kahin ka,Shakti Samanta Shammi Kapoor Asha Parekh abc Romance pagla kahin ka
Kundan Kumar,Mumtaz,abc,abc,Drama,pardesi,Kundan Kumar Mumtaz abc abc Drama pardesi
Rajendra Bhatia,Balraj Sahni,Tanuja,abc,Drama,pavitra paapi,Rajendra Bhatia Balraj Sahni Tanuja abc Drama pavitra paapi
Sohanlal Kanwar,Manoj Kumar,Babita,abc,Romance,pehchan,Sohanlal Kanwar Manoj Kumar Babita abc Romance pehchan
Dev Anand,Dev Anand,Waheeda Rehman,Shatrughan Sinha,Romance,prem pujari,Dev Anand Dev Anand Waheeda Rehman Shatrughan Sinha Romance prem pujari
Manoj Kumar,Manoj Kumar,Saira Banu,Bharathi Vishnuvardhan,Drama,purab aur paschim,Manoj Kumar Manoj Kumar Saira Banu Bharathi Vishnuvardhan Drama purab aur paschim
Kishore Sahu,Sanjay Khan,Prem Nath,abc,Drama,pushpanjali,Kishore Sahu Sanjay Khan Prem Nath abc Drama pushpanjali
Sunder Dar,Shashi Kapoor,Aruna Irani,Nanda,Romance,rootha na karo,Sunder Dar Shashi Kapoor Aruna Irani Nanda Romance rootha na karo
Sundar Dhar,Meena Kumari,Pradeep Kumar,abc,abc,saat phere,Sundar Dhar Meena Kumari Pradeep Kumar abc abc saat phere
Manmohan Desai,Rajesh Khanna,Mumtaz,Vinod Khanna,Drama,sachaa jhutha,Manmohan Desai Rajesh Khanna Mumtaz Vinod Khanna Drama sachaa jhutha
Asit Sen,Sharmila Tagore,Ashok Kumar,Rajesh Khanna,Drama,safar,Asit Sen Sharmila Tagore Ashok Kumar Rajesh Khanna Drama safar
Madhusudan Rao V.,Aruna Irani,Sharada,Pran,Drama,samaj ko badal dalo,Madhusudan Rao V. Aruna Irani Sharada Pran Drama samaj ko badal dalo
Dhirubhai Desai,Jaymala,Jeevan,abc,Drama,sampoorna teerth yatra,Dhirubhai Desai Jaymala Jeevan abc Drama sampoorna teerth yatra
Mohan Segal,Rekha,Navin Nischol,abc,Drama,sawan bhadon,Mohan Segal Rekha Navin Nischol abc Drama sawan bhadon
Asit Sen,Ashok Kumar,Dharmendra,Hema Malini,abc,sharafat,Asit Sen Ashok Kumar Dharmendra Hema Malini abc sharafat
Shyam,Ajit Singh Deol,Dharmendra,Deepa,abc,soldier thakur daler singh,Shyam Ajit Singh Deol Dharmendra Deepa abc soldier thakur daler singh
Vijay,Shashi Kapoor,Sharmila Tagore,abc,Drama,suhana safar,Vijay Shashi Kapoor Sharmila Tagore abc Drama suhana safar
Lamberto V. Avellana,Dev Anand,Zeenat Aman,abc,Action,the evil within,Lamberto V. Avellana Dev Anand Zeenat Aman abc Action the evil within
Ravikant Nagaich,Rajesh Khanna,Nanda,Helen,Drama,the train,Ravikant Nagaich Rajesh Khanna Nanda Helen Drama the train
Bhappi Sonie,Dharmendra,Hema Malini,Helen,Romance,tum haseen main jawaan,Bhappi Sonie Dharmendra Hema Malini Helen Romance tum haseen main jawaan
Atma Ram,Subhash Ghai,Satish Kumar,abc,Drama,umang,Atma Ram Subhash Ghai Satish Kumar abc Drama umang
S. Ram Sharma,Nutan,Manoj Kumar,Prem Chopra,Drama,yaadgaar,S. Ram Sharma Nutan Manoj Kumar Prem Chopra Drama yaadgaar
Babubhai Mistry,Feroz Khan,Nalini Chonkar,Aruna Irani,Thriller Suspense,anjaan hai koi,Babubhai Mistry Feroz Khan Nalini Chonkar Aruna Irani Thriller Suspense anjaan hai koi
Kamran,Dara Singh,Mumtaz,Randhawa,Action,apna khoon apna dushman,Kamran Dara Singh Mumtaz Randhawa Action apna khoon apna dushman
Shakti Samanta,Rajesh Khanna,Sharmila Tagore,Farida Jalal,abc,aradhana,Shakti Samanta Rajesh Khanna Sharmila Tagore Farida Jalal abc aradhana
Mrinal Sen,Utpal Dutt,Suhasini Mulay,abc,abc,bhuvan shome,Mrinal Sen Utpal Dutt Suhasini Mulay abc abc bhuvan shome
Raaj Khosla,Sunil Dutt,Asha Parekh,abc,abc,chirag,Raaj Khosla Sunil Dutt Asha Parekh abc abc chirag
Devendra Goel,Balraj Sahni,Sanjay Khan,Sadhna,abc,ek phool do mali,Devendra Goel Balraj Sahni Sanjay Khan Sadhna abc ek phool do mali
R. K. Nayyar,Sadhna,Ashok Kumar,Rehman,abc,intaqam,R. K. Nayyar Sadhna Ashok Kumar Rehman abc intaqam
Yash Chopra,Rajesh Khanna,Nanda,Iftekhaar,abc,ittefaq,Yash Chopra Rajesh Khanna Nanda Iftekhaar abc ittefaq
Lekh Tondon,Shashi Kapoor,Hema Malini,abc,abc,jahan pyar miley,Lekh Tondon Shashi Kapoor Hema Malini abc abc jahan pyar miley
L.V. Prasad,Jeetendra,Tanuja,Manmohan Krishn,abc,jeene ki raah,L.V. Prasad Jeetendra Tanuja Manmohan Krishn abc jeene ki raah
Chanakya,Sanjay Khan,Deepa,Pran,abc,madhavi,Chanakya Sanjay Khan Deepa Pran abc madhavi
Nisar Ahmad Ansari,Nisar Ahmad Ansari,Nakhi Jahan,Change Usmani,Suspense,mr. murder,Nisar Ahmad Ansari Nisar Ahmad Ansari Nakhi Jahan Change Usmani Suspense mr. murder
Bhappi Sonie,Dharmendra,Vyjayanthimala,Pran,Romance,pyar hi pyar,Bhappi Sonie Dharmendra Vyjayanthimala Pran Romance pyar hi pyar
Hrishikesh Mukherjee,Ashok Kumar,Mala Sinha,Biswajeet,abc,pyar ka sapna,Hrishikesh Mukherjee Ashok Kumar Mala Sinha Biswajeet abc pyar ka sapna
Tarun Majumdar,Biswajeet,Sandhya Roy,Shashikala,"Romantic, Social, Drama",rahgir,"Tarun Majumdar Biswajeet Sandhya Roy Shashikala Romantic, Social, Drama rahgir"
Suraj Prakash,Shashi Kapoor,Nanda,abc,abc,raja saab,Suraj Prakash Shashi Kapoor Nanda abc abc raja saab
Ravindra Dave,Dev Kumar,Anju Mahendru,abc,abc,road to sikkim,Ravindra Dave Dev Kumar Anju Mahendru abc abc road to sikkim
Khwaja Ahmad Abbas,Utpal Dutt,Madhu,Jalal Agha,abc,saat hindustani,Khwaja Ahmad Abbas Utpal Dutt Madhu Jalal Agha abc saat hindustani
Sohrab Modi,Sohrab Modi,Sailesh Kumar,Shahida,Social Drama,samay bada balwan,Sohrab Modi Sohrab Modi Sailesh Kumar Shahida Social Drama samay bada balwan
O.P. Ralhan,Rajendra Kumar,Sharmila Tagore,abc,abc,talash,O.P. Ralhan Rajendra Kumar Sharmila Tagore abc abc talash
Ravikant Nagaich,Dharmendra,Jeetendra,Bindu,abc,the gold medal,Ravikant Nagaich Dharmendra Jeetendra Bindu abc the gold medal
Shriram Bohra,Dara Singh,Nishi,Helen,abc,thief of baghdad,Shriram Bohra Dara Singh Nishi Helen abc thief of baghdad
Pramod Chakravorty,Shammi Kapoor,Babita,Pran,abc,tumse achha kaun hai,Pramod Chakravorty Shammi Kapoor Babita Pran abc tumse achha kaun hai
Ramanna,Jeetendra,Hema Malini,Mehmood Ali,Family Romance Action,waris,Ramanna Jeetendra Hema Malini Mehmood Ali Family Romance Action waris
Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma,Drama,aa jaa sanam,Yusuf Naqvi Feroz Khan Tanuja Deven Verma Drama aa jaa sanam
C L Rawal,Deepak Kumar,Ashok Kumar,Vimi Tun Tun,Romantic melodrama,aabroo,C L Rawal Deepak Kumar Ashok Kumar Vimi Tun Tun Romantic melodrama aabroo
A. Bhim Singh,Dilip Kumar,Manoj Kumar,Waheeda Rehman,Drama,aadmi,A. Bhim Singh Dilip Kumar Manoj Kumar Waheeda Rehman Drama aadmi
Karunesh Thakur,Kamini Kaushal,Jayant,Chand Usmani,Social Family Drama,aanchal ke phool,Karunesh Thakur Kamini Kaushal Jayant Chand Usmani Social Family Drama aanchal ke phool
Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal,Family Melodrama,aashirwad,Hrishikesh Mukherjee Ashok Kumar Sanjeev Kumar Sumita Sanyal Family Melodrama aashirwad
Ramanand Sagar,Dharmendra,Mala Sinha,Mehmood,Thriller,ankhen,Ramanand Sagar Dharmendra Mala Sinha Mehmood Thriller ankhen
Amit Bose,Meena Kumari,Sanjay Khan,Nanda,Family Drama,abhilasha,Amit Bose Meena Kumari Sanjay Khan Nanda Family Drama abhilasha
Shiv Kumar,Feroz Khan,Shahida,Helen,Action Thriller,anjam,Shiv Kumar Feroz Khan Shahida Helen Action Thriller anjam
Asit Sen,Sanjeev Kumar,Zaheeda,Ajay (Parikshit Sahni),Drama,anokhi raat,Asit Sen Sanjeev Kumar Zaheeda Ajay (Parikshit Sahni) Drama anokhi raat
Phani Majumdar,Shekhar,Bina Rai,Mumtaz,Social Family Drama,apna ghar apni kahani,Phani Majumdar Shekhar Bina Rai Mumtaz Social Family Drama apna ghar apni kahani
Kundan Kumar,Jeetendra,Babita,Mehmood,Family Drama,aulad,Kundan Kumar Jeetendra Babita Mehmood Family Drama aulad
Moni Bhattacharya,Dharmendra,Waheeda Rehman,Mehmood,Suspense Thriller Romance,baazi,Moni Bhattacharya Dharmendra Waheeda Rehman Mehmood Suspense Thriller Romance baazi
Y. H. Rizvi,Dharmendra,Meena Kumari,Rehman,Family Drama,baharon ki manzil,Y. H. Rizvi Dharmendra Meena Kumari Rehman Family Drama baharon ki manzil
Chandrakant,Dara Singh,Savitri,Shahu Modak,Mythology,balram shri krishna,Chandrakant Dara Singh Savitri Shahu Modak Mythology balram shri krishna
K A Abbas,Persis Khambatta,Vimal Ahuja,Jalal Agha,Social,bambai raat ki bahon mein,K A Abbas Persis Khambatta Vimal Ahuja Jalal Agha Social bambai raat ki bahon mein
Bhappi Sonie,Shammi Kapoor,Rajshree,Pran,Social Drama,brahmachari,Bhappi Sonie Shammi Kapoor Rajshree Pran Social Drama brahmachari
S. Azim,Azad,Indira Billi,Tun Tun,Spy Thriller,cid agent 302,S. Azim Azad Indira Billi Tun Tun Spy Thriller cid agent 302
Anand Datta,Joy Mukherjee,Sharmila Tagore,Ashok Kumar,Thriller Suspense Romance,dil aur mohabbat,Anand Datta Joy Mukherjee Sharmila Tagore Ashok Kumar Thriller Suspense Romance dil aur mohabbat
Debu Sen,Kishore Kumar,Tanuja,Iftekhar,Comedy Drama,do dooni char,Debu Sen Kishore Kumar Tanuja Iftekhar Comedy Drama do dooni char
"R. Krishnan, S. Panju",Biswajeet,Mala Sinha,Mehmood,Comedy Family Drama,do kaliyaan,"R. Krishnan, S. Panju Biswajeet Mala Sinha Mehmood Comedy Family Drama do kaliyaan"
T. Prakash Rao,Dev Anand,Vyjayanthimala,Balraj Sahni,Romantic Thriller,duniya,T. Prakash Rao Dev Anand Vyjayanthimala Balraj Sahni Romantic Thriller duniya
Vasant Joglekar,Ashok Kumar,Joy Mukherjee,Meera Joglekar,Romance Social Drama,ek kali muskai,Vasant Joglekar Ashok Kumar Joy Mukherjee Meera Joglekar Romance Social Drama ek kali muskai
Kedar Kapoor,Dev Kumar,Zeb Rehman,Jayanti,Social,ek phool ek bhool,Kedar Kapoor Dev Kumar Zeb Rehman Jayanti Social ek phool ek bhool
Rajnath,Sheikh Mukhtar,Simi,Ravi Kumar,Suspense Thriller,ek raat,Rajnath Sheikh Mukhtar Simi Ravi Kumar Suspense Thriller ek raat
Jugal Kishore,Dev Kumar,Faryal,Bela Bose,Thriller,fareb,Jugal Kishore Dev Kumar Faryal Bela Bose Thriller fareb
Kedar Kapoor,Dev Kumar,Nivedita,Mehmood Jr.,Drama,farishta,Kedar Kapoor Dev Kumar Nivedita Mehmood Jr. Drama farishta
A. Bhim Singh,Sunil Dutt,Nutan,Sanjeev Kumar,Melodrama,gauri,A. Bhim Singh Sunil Dutt Nutan Sanjeev Kumar Melodrama gauri
Kamal Sharma,Sailesh Kumar,Mumtaz,Helen,Spy Action Thriller,golden eyes secret agent 077,Kamal Sharma Sailesh Kumar Mumtaz Helen Spy Action Thriller golden eyes secret agent 077
Babubhai Mistry,Abhi Bhattacharya,Bharathi,Sulochana,Religious,har har gange,Babubhai Mistry Abhi Bhattacharya Bharathi Sulochana Religious har har gange
Prakash Mehra,Shashi Kapoor,Babita,Ameeta,Romance,haseena maan jayegi,Prakash Mehra Shashi Kapoor Babita Ameeta Romance haseena maan jayegi
Ved Madan,Kishore Kumar,Kumkum,I. S. Johar,Comedy,haye mera dil,Ved Madan Kishore Kumar Kumkum I. S. Johar Comedy haye mera dil
Joy Mukherjee,Joy Mukherjee,Sharmila Tagore,Mala Sinha,Romantic Spy Drama,humsaya,Joy Mukherjee Joy Mukherjee Sharmila Tagore Mala Sinha Romantic Spy Drama humsaya
T. Prakash Rao,Dharmendra,Tanuja,Jayalalithaa,Social,izzat,T. Prakash Rao Dharmendra Tanuja Jayalalithaa Social izzat
Lekh Tandon,Rajendra Kumar,Saira Banu,Rajendra Nath,Romantic fantasy Drama,jhuk gaya aasman,Lekh Tandon Rajendra Kumar Saira Banu Rajendra Nath Romantic fantasy Drama jhuk gaya aasman
Suraj Prakash,Shashi Kapoor,Nanda,Kalpana,Melodrama,juari,Suraj Prakash Shashi Kapoor Nanda Kalpana Melodrama juari
Nanabhai Bhatt,Dara Singh,Mumtaz,Randhawa,Action,jung aur aman,Nanabhai Bhatt Dara Singh Mumtaz Randhawa Action jung aur aman
Vijay Anand,Dev Anand,Asha Parekh,Shobha Khote,Romantic Drama,kahin aur chal,Vijay Anand Dev Anand Asha Parekh Shobha Khote Romantic Drama kahin aur chal
Darshan,Biswajeet,Sapna,Pran,Action Thriller,kahin din kahin raat,Darshan Biswajeet Sapna Pran Action Thriller kahin din kahin raat
Mohan Sehgal,Shashi Kapoor,Asha Parekh,Dileep Raj,Social Romantic melodrama,kanyadaan,Mohan Sehgal Shashi Kapoor Asha Parekh Dileep Raj Social Romantic melodrama kanyadaan
Homi Wadia,Fearless Nadia,Dilip Raj,Sabita,Action,khiladi,Homi Wadia Fearless Nadia Dilip Raj Sabita Action khiladi
Manmohan Desai,Biswajeet,Babita,Helen,Romance Suspense Thriller,kismat,Manmohan Desai Biswajeet Babita Helen Romance Suspense Thriller kismat
B. J. Patel,Aroon Sarnaik,Shabnam,David,Action Thriller,lady killer,B. J. Patel Aroon Sarnaik Shabnam David Action Thriller lady killer
S. N. Tripathi,Sujit Kumar,Shabnam,Tabassum,Action,lahoo pukarega,S. N. Tripathi Sujit Kumar Shabnam Tabassum Action lahoo pukarega
B. J. Patel,Joni Bond,Rajan Kapoor,Arvind Rathod,Action Costume,london express,B. J. Patel Joni Bond Rajan Kapoor Arvind Rathod Action Costume london express
D. Raman,Azad,Nishi,Tabassum,Action Fantasy,lutera aur jadugar,D. Raman Azad Nishi Tabassum Action Fantasy lutera aur jadugar
A. Subba Rao,Som Dutt,Leena Chandavarkar,Vinod Khanna,Romance Action,man ka meet,A. Subba Rao Som Dutt Leena Chandavarkar Vinod Khanna Romance Action man ka meet
Dhirubhai Desai,Shahu Modak,Jayshree Gadkar,Nalini Chonkar,Mythology,mata mahakali,Dhirubhai Desai Shahu Modak Jayshree Gadkar Nalini Chonkar Mythology mata mahakali
Amar Kumar,Dharmendra,Sharmila Tagore,Mumtaz,Romantic drama,mere hamdam mere dost,Amar Kumar Dharmendra Sharmila Tagore Mumtaz Romantic drama mere hamdam mere dost
Vinod Kumar,Raaj Kumar,Jeetendra,Mala Sinha,Romantic Drama,mere huzoor,Vinod Kumar Raaj Kumar Jeetendra Mala Sinha Romantic Drama mere huzoor
S. N. Tripathi,Feroz Khan,Naaz,Sheikh Mukhtar,Historical Action Drama,nadir shah,S. N. Tripathi Feroz Khan Naaz Sheikh Mukhtar Historical Action Drama nadir shah
Ram Maheshwari,Waheeda Rehman,Manoj Kumar,Raaj Kumar,"Drama, Romance, Thriller, Musical",neel kamal,"Ram Maheshwari Waheeda Rehman Manoj Kumar Raaj Kumar Drama, Romance, Thriller, Musical neel kamal"
Jyoti Swaroop,Sunil Dutt,Mehmood,Saira BanuKishore Kumar,Comedy/Musical,padosan,Jyoti Swaroop Sunil Dutt Mehmood Saira BanuKishore Kumar Comedy/Musical padosan
Kewal P. Kashyap,Jeetendra,Nanda,Rajendranath,Family Drama,parivar,Kewal P. Kashyap Jeetendra Nanda Rajendranath Family Drama parivar
M. V. Raman,Kishore Kumar,Rajasree,Jyotilaxmi,Romantic melodrama,payal ki jhankar,M. V. Raman Kishore Kumar Rajasree Jyotilaxmi Romantic melodrama payal ki jhankar
V. Shantaram,Shriram Lagoo,Sandhya,Nilu Phule,Romantic Social Melodrama,pinjra,V. Shantaram Shriram Lagoo Sandhya Nilu Phule Romantic Social Melodrama pinjra
Sultan,Indrajit,Indira,Khurshid (jr),Action Fantasy,professor and jadugar,Sultan Indrajit Indira Khurshid (jr) Action Fantasy professor and jadugar
C. Vishwanath,P. Jairaj,Azra,Sushma,Social,raaste aur manzil,C. Vishwanath P. Jairaj Azra Sushma Social raaste aur manzil
K. P. Atma,Sanjeev Kumar,Kumkum,Nazima,Costume Drama,raja aur runk,K. P. Atma Sanjeev Kumar Kumkum Nazima Costume Drama raja aur runk
P. L. Santoshi,Jagdeep,Anita,Jayamala,Social,roop rupaiya,P. L. Santoshi Jagdeep Anita Jayamala Social roop rupaiya
C. V. Sridhar,Vyjayanthimala,Rajendra Kumar,Simi,Romantic drama,saathi,C. V. Sridhar Vyjayanthimala Rajendra Kumar Simi Romantic drama saathi
A. Bhimsingh,Om Prakash,Mehmood,Pran,Comedy,sadhu aur shaitaan,A. Bhimsingh Om Prakash Mehmood Pran Comedy sadhu aur shaitaan
Mahesh Kaul,Raj Kapoor,Hema Malini,Tanuja,Drama,sapnon ka saudagar,Mahesh Kaul Raj Kapoor Hema Malini Tanuja Drama sapnon ka saudagar
Govind Saraiya,Nutan,Ashish Kumar,Mahesh Desai,Social Drama,saraswatichandra,Govind Saraiya Nutan Ashish Kumar Mahesh Desai Social Drama saraswatichandra
Atma Ram,Dharmendra,Asha Parekh,Sanjeev Kumar,Action Mystery Thriller,shikar,Atma Ram Dharmendra Asha Parekh Sanjeev Kumar Action Mystery Thriller shikar
Ram Dayal,Kishore Kumar,Shahida,I. S. Johar,Comedy,shrimanji,Ram Dayal Kishore Kumar Shahida I. S. Johar Comedy shrimanji
B. K. Adarsh,Dev Kumar,Jayamala,K. N. Singh,Action Spy Thriller,spy in rome,B. K. Adarsh Dev Kumar Jayamala K. N. Singh Action Spy Thriller spy in rome
R. Bhattacharya,Jeetendra,Rajashree,Shabnam,Melodrama,suhaag raat,R. Bhattacharya Jeetendra Rajashree Shabnam Melodrama suhaag raat
Harnam Singh Rawail,Dilip Kumar,Vyjayanthimala,Balraj Sahni,Drama,sunghursh,Harnam Singh Rawail Dilip Kumar Vyjayanthimala Balraj Sahni Drama sunghursh
Sushil Gupta,Azad,Indira,Shyam Kumar,Action Fantasy,tarzan in fairyland,Sushil Gupta Azad Indira Shyam Kumar Action Fantasy tarzan in fairyland
Aslam Ilahabadi,Raj Gulshan,Nalini Chonkar,Sherry,Fantasy,tatar ki hasina,Aslam Ilahabadi Raj Gulshan Nalini Chonkar Sherry Fantasy tatar ki hasina
"S. S. Balan, S. S. Vasan",Prithviraj Kapoor,Shashikala,Agha,Family Comedy,teen bahuraniyan,"S. S. Balan, S. S. Vasan Prithviraj Kapoor Shashikala Agha Family Comedy teen bahuraniyan"
Kewal Mishra,Sailesh Kumar,Kumkum,Madan Puri,"Murder, Mystery Action",teri talash mein,"Kewal Mishra Sailesh Kumar Kumkum Madan Puri Murder, Mystery Action teri talash mein"
T. Prakash Rao,Raaj Kumar,Padmini,Biswajeet,Social Family Drama,vaasna,T. Prakash Rao Raaj Kumar Padmini Biswajeet Social Family Drama vaasna
Kamran,Dara Singh,Nishi,Randhawa,Action War,watan se door,Kamran Dara Singh Nishi Randhawa Action War watan se door
Suraj Prakesh,Shashi Kapoor,Sharmila Tagore,Prem Chopra,Musical,aamne samne,Suraj Prakesh Shashi Kapoor Sharmila Tagore Prem Chopra Musical aamne samne
M. Sadiq,Pradeep Kumar,Meena Kumari,Ashok Kumar,Drama,bahu begum,M. Sadiq Pradeep Kumar Meena Kumari Ashok Kumar Drama bahu begum
V. Shantaram,Jeetendra,Mumtaz,Nana Palsikar,Social Crime Drama,boond jo ban gayee moti,V. Shantaram Jeetendra Mumtaz Nana Palsikar Social Crime Drama boond jo ban gayee moti
Ravikant Nagaich,Jeetendra,Babita,abc,abc,farz,Ravikant Nagaich Jeetendra Babita abc abc farz
