director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Parvati Balagopalan,Daman Baggan,Anuj Chaudhary,Ketki Dave,Drama TV Movie,straight,Parvati Balagopalan Daman Baggan Anuj Chaudhary Ketki Dave Drama TV Movie straight
Jehangir Surti,Neil Mukesh,Bipasha Basu,Rahul Dev,Action Science Fiction,aa dekhen zara,Jehangir Surti Neil Mukesh Bipasha Basu Rahul Dev Action Science Fiction aa dekhen zara
Sangeeth Sivan,Bobby Deol,Shriya Saran,Nana Patekar,Action Drama Thriller,ek: the power of one,Sangeeth Sivan Bobby Deol Shriya Saran Nana Patekar Action Drama Thriller ek: the power of one
Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Sharmila Tagore,Thriller Action Mystery,8 x 10 tasveer,Nagesh Kukunoor Akshay Kumar Ayesha Takia Sharmila Tagore Thriller Action Mystery 8 x 10 tasveer
Tarique,Arshad Warsi,Anita Hassanandani,Rajpal Yadav,abc,ek se bure do,Tarique Arshad Warsi Anita Hassanandani Rajpal Yadav abc ek se bure do
V Krishna Kumar,Ajay Jadeja,Mahie Gill,Satish Shah,abc,pal pal dil ke saath,V Krishna Kumar Ajay Jadeja Mahie Gill Satish Shah abc pal pal dil ke saath
Gurbir Grewal,Ashutosh Rana,Sakshi Tanwar,Harsh Chhaya,abc,coffee house,Gurbir Grewal Ashutosh Rana Sakshi Tanwar Harsh Chhaya abc coffee house
Dilip Sood,Pankaj Sharma,Rajiv Sethi,Virender Sharma,Drama Family,school days,Dilip Sood Pankaj Sharma Rajiv Sethi Virender Sharma Drama Family school days
Ravi K. Patwa,Vikram Kumar,Monalisa,Sudesh Berry,abc,royal utsav,Ravi K. Patwa Vikram Kumar Monalisa Sudesh Berry abc royal utsav
Anjan Dutt,Victor Banerjee,Atul Kulkarni,Roopa Ganguly,abc,chowrasta crossroads of love,Anjan Dutt Victor Banerjee Atul Kulkarni Roopa Ganguly abc chowrasta crossroads of love
Prakash Saini,Sarvar Ahuja,Saadhika Randhawa,Hina Tasleem,abc,meri padosan,Prakash Saini Sarvar Ahuja Saadhika Randhawa Hina Tasleem abc meri padosan
Piyush Jha,Parzan Dastur,Ayesha Kapur,R. Madhavan,War Drama History,sikandar,Piyush Jha Parzan Dastur Ayesha Kapur R. Madhavan War Drama History sikandar
Raj and D.K.,Kunal Khemu,Boman Irani,Soha Ali Khan,Drama,99,Raj and D.K. Kunal Khemu Boman Irani Soha Ali Khan Drama 99
Amy Thanawala,Tara Sharma,Dharmendra Gohil,Rinku Patel,abc,"suno na, ek nanhi awaaz[2]","Amy Thanawala Tara Sharma Dharmendra Gohil Rinku Patel abc suno na, ek nanhi awaaz[2]"
Romilla Mukherjee,"Ava Mukherjee,Zain Khan",Shweta Gulati,Amit Verma,abc,detective naani,"Romilla Mukherjee Ava Mukherjee,Zain Khan Shweta Gulati Amit Verma abc detective naani"
Ravi Pun,Prakash Sagar,Rishabh,Tina Rana,abc,yeh pal ho na ho kal[3],Ravi Pun Prakash Sagar Rishabh Tina Rana abc yeh pal ho na ho kal[3]
Lawrence D'Souza,Saif Ali Khan,Pooja Bhatt,Atul Agnihotri,abc,sanam teri kasam,Lawrence D'Souza Saif Ali Khan Pooja Bhatt Atul Agnihotri abc sanam teri kasam
Ajay Chandhok,Sohail Khan,Amrita Arora,Yash Tonk,Action,team - the force,Ajay Chandhok Sohail Khan Amrita Arora Yash Tonk Action team - the force
Vivek Sharma,Jackky Bhagnani,Vaishali Desai,Rishi Kapoor,Drama Comedy Romance,kal kissne dekha,Vivek Sharma Jackky Bhagnani Vaishali Desai Rishi Kapoor Drama Comedy Romance kal kissne dekha
Girish Girija Joshi,Mithun Chakraborty,Mahesh Manjrekar,Sachin Khedekar,Drama Comedy Family,zor lagaa ke...haiya!,Girish Girija Joshi Mithun Chakraborty Mahesh Manjrekar Sachin Khedekar Drama Comedy Family zor lagaa ke...haiya!
Aarif Sheikh,Ajay Chaudhary,Gayatri Patel,abc,Comedy Drama,let's dance,Aarif Sheikh Ajay Chaudhary Gayatri Patel abc Comedy Drama let's dance
Paritossh Painter,Shreyas Talpade,Javed Jaffrey,Aashish Chaudhary,Comedy,paying guests,Paritossh Painter Shreyas Talpade Javed Jaffrey Aashish Chaudhary Comedy paying guests
Kabir Khan,John Abraham,Katrina Kaif,Neil Mukesh,Animation Family,new york,Kabir Khan John Abraham Katrina Kaif Neil Mukesh Animation Family new york
Sabbir Khan,Akshay Kumar,Kareena Kapoor,Aftab Shivdasani,Comedy Drama Romance,kambakkht ishq,Sabbir Khan Akshay Kumar Kareena Kapoor Aftab Shivdasani Comedy Drama Romance kambakkht ishq
Pankaj Advani,Kay Kay Menon,Anupam Kher,Rimi Sen,Comedy,sankat city,Pankaj Advani Kay Kay Menon Anupam Kher Rimi Sen Comedy sankat city
Neeraj Vora,Akshaye Khanna,Arshad Warsi,Amrita Rao,Comedy,shortkut,Neeraj Vora Akshaye Khanna Arshad Warsi Amrita Rao Comedy shortkut
Raksha Mistry & Hasnain S Hyderabadwala,Adhyayan Suman,Anjana Sukhani,Shahana Goswami,Drama Music Romance,jashnn,Raksha Mistry & Hasnain S Hyderabadwala Adhyayan Suman Anjana Sukhani Shahana Goswami Drama Music Romance jashnn
Soham Shah,Sanjay Dutt,Shruti Haasan,Imran Khan,Comedy,luck,Soham Shah Sanjay Dutt Shruti Haasan Imran Khan Comedy luck
Imtiaz Ali,Saif Ali Khan,Deepika Padukone,Rishi Kapoor,Romance Drama,love aaj kal,Imtiaz Ali Saif Ali Khan Deepika Padukone Rishi Kapoor Romance Drama love aaj kal
Ram Gopal Varma,Gautam Rode,Nitin Kumar Reddy,Priyanka Kothari,Horror Mystery,agyaat,Ram Gopal Varma Gautam Rode Nitin Kumar Reddy Priyanka Kothari Horror Mystery agyaat
Ujjwal Singh,Mithun Chakraborty,Rati Agnihotri,Shilpa Shukla,Drama,chal chalein,Ujjwal Singh Mithun Chakraborty Rati Agnihotri Shilpa Shukla Drama chal chalein
Satish Kaushik,Ruslaan Mumtaz,Sheena Shahabadi,Neena Gupta,Romance Drama,teree sang,Satish Kaushik Ruslaan Mumtaz Sheena Shahabadi Neena Gupta Romance Drama teree sang
Vishal Bhardwaj,Shahid Kapoor,Priyanka Chopra,Amole Gupte,Comedy,kaminey,Vishal Bhardwaj Shahid Kapoor Priyanka Chopra Amole Gupte Comedy kaminey
